Event Date,Daily Total Constrained Power (MW)
09 Apr 2019,1415
08 Apr 2019,1800
07 Apr 2019,2619
06 Apr 2019,1887
05 Apr 2019,1384
04 Apr 2019,1691
03 Apr 2019,606
02 Apr 2019,1162
01 Apr 2019,1083
31 Mar 2019,1948
30 Mar 2019,1629
29 Mar 2019,1451
28 Mar 2019,1255
27 Mar 2019,1156
26 Mar 2019,1031
25 Mar 2019,912
24 Mar 2019,1334
23 Mar 2019,1434
22 Mar 2019,1564
21 Mar 2019,2479
20 Mar 2019,978
19 Mar 2019,703
18 Mar 2019,1220
17 Mar 2019,1232
16 Mar 2019,1472
15 Mar 2019,1046
14 Mar 2019,895
13 Mar 2019,1540
12 Mar 2019,0
11 Mar 2019,345
10 Mar 2019,35
09 Mar 2019,1260
08 Mar 2019,886
07 Mar 2019,764
06 Mar 2019,698
05 Mar 2019,380
04 Mar 2019,37
03 Mar 2019,105
02 Mar 2019,671
01 Mar 2019,265
28 Feb 2019,2188
27 Feb 2019,1279
26 Feb 2019,1551
25 Feb 2019,2472
24 Feb 2019,2101
23 Feb 2019,1870
22 Feb 2019,1166
21 Feb 2019,1044
20 Feb 2019,403
19 Feb 2019,725
18 Feb 2019,1463
17 Feb 2019,1367
16 Feb 2019,1770
15 Feb 2019,1456
14 Feb 2019,1420
13 Feb 2019,1329
12 Feb 2019,3780
11 Feb 2019,1792
10 Feb 2019,1423
09 Feb 2019,1182
08 Feb 2019,1389
07 Feb 2019,1193
06 Feb 2019,1427
05 Feb 2019,1194
04 Feb 2019,1461
03 Feb 2019,1270
02 Feb 2019,1253
01 Feb 2019,1205
31 Jan 2019,1512
30 Jan 2019,787
29 Jan 2019,1034
28 Jan 2019,222
27 Jan 2019,363
26 Jan 2019,605
25 Jan 2019,428
24 Jan 2019,515
23 Jan 2019,419
22 Jan 2019,295
21 Jan 2019,923
20 Jan 2019,580
19 Jan 2019,435
18 Jan 2019,145
17 Jan 2019,330
16 Jan 2019,448
15 Jan 2019,235
14 Jan 2019,1081
13 Jan 2019,941
12 Jan 2019,1133
11 Jan 2019,1357
10 Jan 2019,1246
09 Jan 2019,1283
08 Jan 2019,1328
07 Jan 2019,1836
06 Jan 2019,1762
05 Jan 2019,3020
04 Jan 2019,2153
03 Jan 2019,2381
02 Jan 2019,2413
01 Jan 2019,2415
31 Dec 2018,803
30 Dec 2018,1079
29 Dec 2018,708
28 Dec 2018,1054
27 Dec 2018,1054
26 Dec 2018,909
25 Dec 2018,907
24 Dec 2018,701
23 Dec 2018,626
22 Dec 2018,308
21 Dec 2018,511
20 Dec 2018,353
19 Dec 2018,603
18 Dec 2018,548
17 Dec 2018,382
16 Dec 2018,507
15 Dec 2018,2105
14 Dec 2018,2074
13 Dec 2018,2682
12 Dec 2018,1942
11 Dec 2018,2257
10 Dec 2018,2179
09 Dec 2018,574
08 Dec 2018,750
07 Dec 2018,637
06 Dec 2018,517
05 Dec 2018,208
04 Dec 2018,250
03 Dec 2018,292
02 Dec 2018,357
01 Dec 2018,2869
30 Nov 2018,2672
29 Nov 2018,2615
28 Nov 2018,2768
27 Nov 2018,2873
26 Nov 2018,2974
25 Nov 2018,2566
24 Nov 2018,2698
23 Nov 2018,2558
22 Nov 2018,2256
21 Nov 2018,1733
20 Nov 2018,2241
19 Nov 2018,2635
18 Nov 2018,2547
17 Nov 2018,2681
16 Nov 2018,2631
15 Nov 2018,2987
14 Nov 2018,2496
13 Nov 2018,2703
12 Nov 2018,2677
11 Nov 2018,2140
10 Nov 2018,2520
09 Nov 2018,2154
08 Nov 2018,2799
07 Nov 2018,2011
06 Nov 2018,2342
05 Nov 2018,2183
04 Nov 2018,2329
03 Nov 2018,3306
02 Nov 2018,3112
01 Nov 2018,2993
31 Oct 2018,3461
30 Oct 2018,3270
29 Oct 2018,3284
28 Oct 2018,3887
27 Oct 2018,3266
26 Oct 2018,3137
25 Oct 2018,3118
24 Oct 2018,3413
23 Oct 2018,3651
22 Oct 2018,3431
21 Oct 2018,3524
20 Oct 2018,3667
19 Oct 2018,3491
18 Oct 2018,3509
17 Oct 2018,3414
16 Oct 2018,0
15 Oct 2018,3796
14 Oct 2018,3478
13 Oct 2018,3606
12 Oct 2018,3528
11 Oct 2018,3334
10 Oct 2018,3827
09 Oct 2018,3919
08 Oct 2018,3674
07 Oct 2018,4048
06 Oct 2018,2750
05 Oct 2018,2928
04 Oct 2018,2945
03 Oct 2018,2301
02 Oct 2018,2392
01 Oct 2018,2878
30 Sep 2018,2336
29 Sep 2018,2229
28 Sep 2018,2550
27 Sep 2018,1889
26 Sep 2018,1941
25 Sep 2018,2025
24 Sep 2018,2144
23 Sep 2018,1997
22 Sep 2018,3464
21 Sep 2018,3055
20 Sep 2018,3283
19 Sep 2018,3504
18 Sep 2018,2733
17 Sep 2018,3531
16 Sep 2018,3304
15 Sep 2018,3328
14 Sep 2018,3080
13 Sep 2018,3378
12 Sep 2018,3532
11 Sep 2018,2859
10 Sep 2018,4166
09 Sep 2018,3544
08 Sep 2018,3827
07 Sep 2018,3453
06 Sep 2018,3980
05 Sep 2018,3893
04 Sep 2018,4111
03 Sep 2018,4314
02 Sep 2018,4249
01 Sep 2018,4559
